Gene Symbol,GSM155932,GSM155933,GSM155934,GSM155935,GSM155983,GSM155987,GSM155991,GSM155993
CENPC,6.67547723060941,6.75765002108943,6.66537855778776,7.01159626974785,6.75746335075116,6.5136549659744505,6.689410993026231,6.97132512143334
CNKSR1,4.441264349648531,4.78483896755774,4.33890214372426,3.97192055964573,4.48998600309607,4.02211032447534,4.0142213732368,4.28976070587685
TAGLN3,3.9416415867466497,3.59709013435502,3.47841532205616,3.74226496704013,3.40419467649539,3.4411116030395696,3.4175285048812505,3.5363762266882794
IARS1,9.50894754275891,9.177828119137141,9.968033135278109,9.13867114228248,9.701982160835438,9.491307975229311,9.24548377848691,9.51003818805705
MT1G,12.8709599396855,11.0493380717519,11.1561968689557,10.0837319430553,10.331409640083999,10.570368053706,12.076337959217902,10.3970328170968
PICK1,4.81503226670442,5.24305970607253,5.4073153575229,5.863690713660099,5.65820005541909,6.225876441609629,5.24876251625292,5.786031718567821
IFIT3,10.192601049712,9.14362810695073,7.7733370484736,10.2255930682842,7.0125128059777,8.507445814614789,8.68372101359477,6.447291554520009
NAP1L3,2.7940206957545204,4.32205793159848,2.72533544371383,3.3357976463846404,3.46159403978792,3.18782157794623,5.04262245169879,3.96345562776605
DSC2,4.3275939595810895,3.9659227767385,5.1956310694966605,3.9730693595746405,4.20947676049398,4.23674516357746,4.12347583289732,4.128004635113189
PARP2,6.919661863854901,7.19291414928741,7.49639843291562,7.1933085087415005,7.26250832736125,6.54215433298334,6.7313326092674295,6.901952947591879
HLF,8.64322487258363,9.276217479371288,9.21381384618775,9.8382537536248,6.69227374734864,9.35635512702973,8.71328683750636,9.51057034528386
MAP2K5,6.265560666052671,6.338948482144881,6.82108514986312,6.22094513623165,5.66153014665151,6.26321285316818,6.21642188222914,6.33453788550702
C2CD2L,5.03645497934715,5.11892031437214,4.97493765118752,5.08801011290765,5.00665259422792,5.344966937959639,5.48720977198869,4.786361120695481
USP6NL,7.49759639944944,8.75452678331151,7.89160753180474,7.36178590181057,7.8057051848385095,8.29940952362152,8.35126170824229,7.10820033670341
GNAO1,2.5566991674573902,2.60730663855981,2.3837568159841003,2.27124338537736,2.48570761012967,2.55361854325458,2.53925312615248,2.54145536609299
CHURC1-FNTB,4.795387733424981,4.650373967781371,5.68575237288584,4.642603386684,4.20551763289271,4.225652831916229,4.31495749210964,4.22353839338675
ARHGEF5,7.0075767603460095,6.623739590595259,6.43483169166444,7.13576058101617,6.543093703969951,7.225091727438031,8.01244017496024,6.877989585387209
NUDT1,4.90214595350075,4.90052390079551,5.536323380203671,5.5625294080222405,4.871863357323339,5.00281951523369,5.1521509621086,4.873409659685111
FEN1,6.936154996981831,6.467791376797991,6.974506368678019,6.3685256682124605,6.699398937737009,6.327160986230281,6.21751767540316,6.4666809509417105
TAP2,5.1046260085810795,5.660663407972669,5.585869910924849,6.380667118742339,5.097602369644799,5.02107546742459,5.272344250055889,4.02003097504133
TTF1,6.4944028091424695,5.677265799515901,6.57494011092542,6.4434392334449395,8.75311644244467,7.41351792462201,7.00960470939561,8.252528251645861
EVI2A,6.819744811863691,7.20266259063578,7.80164369886621,6.498986390636429,7.08413869436384,6.30209966857658,6.561657594376481,8.458701889464999
CHAF1B,3.6713726392622297,3.7274412913633994,4.61478639324977,3.95557319421175,3.54083322684412,3.8972404255748,3.7937190453546297,3.7066742070903396
THBS4,3.7999369193112797,3.91917797276816,4.06570154867168,3.6254926052234,3.7328878299576003,3.97525414886805,4.619125382021299,3.8835426193133302
MAL,3.14039257688371,3.86383936082327,2.90091123506029,2.84552015904845,2.90614019906724,3.00542873355914,3.36854487466153,4.1424052685695205
HOXB7,2.6349626068521204,2.6519839020735296,2.9031674896837,2.59985334838144,2.6086862535937403,2.60726165462879,2.60006989404706,2.60256852485425
FAS,8.06383186861306,8.48523359614454,7.32312683698192,6.345532987771549,6.8027360645460595,7.27777093000015,7.242364323458131,7.958053848190629
MLF1,2.49525000718501,2.48185431356606,3.0445742264055897,2.44197474089242,2.54956321314344,2.44933158154263,2.84565262724225,2.44509101484404
IFNAR2,6.60981995761796,6.61000606474233,6.62051896581456,6.92443248449565,7.02893375789996,6.618793657465191,6.705355916313589,7.011148967521731
VSIG4,8.18328800120956,7.707186550581679,6.90026304356897,7.60087927282804,5.4241864486079505,6.182048661131151,6.0090022244227805,6.6049001013278605
PPOX,6.24068831290409,6.5547285100759005,6.3952170718697,6.808771159327179,6.84382057718912,6.78492270156286,7.37300431807101,7.129056289909519
SMAD7,5.274697758955639,6.406444832205531,7.18840092460321,6.01847839596593,5.83457470540024,4.82388180504453,6.3062640627845195,6.84735807201877
