A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
ABHD15 219.0669 156.6054 197.8799 96.1615 162.7907 372.0548 528.2700 205.4731 277.1346 265.8824 519.3022 289.2128 274.2364 1257.9745 363.0113 574.1721 482.6681 405.6153 429.8202
ABHD1 2.9504 0.8749 4.4170 2.3744 2.3256 2.7397 0.8439 2.3191 1.4472 4.1176 4.4712 8.7464 4.6481 3.5885 3.4376 3.3324 4.2017 4.1816 1.4472
ABHD2 2450.3043 2572.1785 1852.4735 5976.2564 7862.0155 2933.6986 3075.5274 2798.2375 1864.6889 2853.5294 7093.2971 1590.6706 1149.4024 7641.5470 3367.8240 4922.6176 4754.2017 10221.6249 3039.1324
ABHD3 97.3631 98.8626 69.7880 75.5837 741.8605 244.3836 212.6582 298.7013 158.4660 152.3529 284.2429 216.9096 170.6507 532.2967 330.6978 261.2600 230.0420 296.2963 306.8077
ABHD4 1643.3708 1119.8600 1597.1731 1117.9264 2263.5659 1176.9863 607.1730 700.8349 970.3329 1350.0000 587.6482 1205.2478 422.9748 612.0415 795.4624 934.4043 1122.8992 604.5400 708.1661
ABHD5 519.2698 706.9116 508.8339 1388.6031 1613.1783 653.1507 1089.4515 1237.9406 577.4240 415.8824 992.6145 575.5102 780.8765 902.7113 971.8116 763.1190 602.4160 2369.7730 745.7935
ABHD6 264.0605 233.5958 272.0848 211.7135 350.3876 245.4795 148.5232 562.6160 228.6541 251.7647 161.6033 279.8834 192.5631 320.9729 202.8188 195.9450 167.0168 185.7826 193.9256
ABHD8 280.2877 215.2231 364.8410 179.2639 172.8682 206.0274 198.3122 89.0538 336.4689 288.2353 198.0119 314.2857 310.0930 361.6427 182.8807 202.9430 227.4160 96.1768 251.3314
ABI1 1224.0679 1014.8731 1084.5760 1083.3281 2085.2326 1419.7260 1280.3502 2898.1169 1022.4313 1299.7471 1775.6621 1424.8105 845.3519 2131.3955 1936.4043 1485.0563 1644.0914 2502.3895 1574.5600
ABI2 1976.7656 2272.0910 2320.6714 2740.7994 676.7442 1521.6438 797.8903 666.0482 2442.1129 1897.6471 1314.5435 1545.1895 598.2736 1033.4928 823.3070 1421.2675 1019.9580 1157.7061 841.3090
ABI3BP 3758.0675 3410.3237 3196.1131 3978.2351 260.4651 4330.9589 262.4473 704.5455 5368.3068 4462.9412 1249.3912 2818.0758 666.0027 1001.1962 1066.6896 1866.1426 232.6681 1339.9044 2387.8898
ABI3 84.0863 84.8644 37.1025 133.7554 125.5814 333.6986 171.3080 294.0631 78.8712 254.1176 224.2006 227.9883 895.7503 213.7161 223.1007 163.2875 149.1597 160.0956 535.4662
ABL1 8992.0708 9746.2817 8770.3180 16044.7171 2303.8760 4044.3836 1572.5738 2315.3989 9029.6671 7801.1765 3271.6675 6408.7464 1271.5803 1451.7544 2038.1574 3137.1190 2048.3193 4257.4671 4893.0032
ABL2 907.9845 1861.7673 572.4382 2561.5354 332.5581 833.9726 554.4304 862.7087 604.1968 888.2353 1305.6010 776.0933 1383.7981 466.9059 323.4789 519.5208 402.3109 1431.8996 1064.6612
ABLIM1 6714.3647 3622.0472 5682.8622 3399.6834 15237.2093 3663.0137 4847.6793 19281.5399 3402.3155 4100.0000 8644.8162 3443.1487 1958.8313 3589.3142 5136.4730 6026.3076 5391.2815 13616.4875 4331.4873
ABLIM2 52.3695 48.9939 45.9364 87.0598 309.3023 74.5205 47.2574 405.8442 34.7323 101.7647 37.6861 67.6385 152.0584 21.1324 41.2513 25.6595 14.7059 36.4397 56.9234
